,location,title,company,date
0,Thành phố Hồ Chí Minh,Customer Experience - Data Analyst,Shopee,5 ngày trước
1,Thành phố Hồ Chí Minh,Junior Data Analyst,Intrepid Group,10 ngày trước
2,Thành phố Hồ Chí Minh,Data Analyst - Retail Risk Management - Hồ Chí Minh - TA003,VPBank,6 ngày trước
3,Thành phố Hồ Chí Minh,DATA ANALYST INTERN,PMAX Join Stock,3 ngày trước
4,Thành phố Hồ Chí Minh,Customer Experience Recovery - Data Analyst,Shopee,30+ ngày trước
5,Thành phố Hồ Chí Minh,Seller Service - Data Analyst,Shopee,19 ngày trước
6,Thành phố Hồ Chí Minh,Data Analyst (Based in HCMC),Amanotes,3 ngày trước
7,Thành phố Hồ Chí Minh,Data Analyst,Hansen Technologies,28 ngày trước
8,Thành phố Hồ Chí Minh,Operations - Seller Service - Data Analyst,Shopee,19 ngày trước
9,Thành phố Hồ Chí Minh,Data Analyst,Yojee,30+ ngày trước
